	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"
"AT2G45830"	6.73	6.63	6.97	6.94	7.51	7.3	7.1	6.84	6.69	7.05	7.06	6.94	6.77	6.85	6.9	7.01	7.03	7.09
"AT2G45850"	3.69	3.55	3.6	3.46	3.52	3.39	3.39	3.46	3.48	3.77	3.85	3.71	3.84	3.74	3.91	4.18	4.4	4.26
"AT2G45860"	6.24	7.1	7.22	7.29	7.5	7.6	7.64	7.93	8.11	7.93	8.09	8.27	8.43	8.77	8.83	8.89	8.89	8.85
"AT2G45870"	4.27	4.25	4.35	4.54	5.19	5.49	5.59	5.34	5.13	4.91	4.84	5.06	5.18	5.17	5.21	5.02	5.07	4.95
"AT2G45880"	6.38	6.26	6.4	6.06	6.11	5.92	5.98	5.87	5.82	5.88	5.85	5.83	5.91	5.87	5.77	5.78	5.97	5.99
"AT2G45890"	7.53	7.66	6.28	5.57	4.95	4.13	4	3.94	3.82	3.95	3.79	3.87	4.29	4.26	4.29	3.97	3.63	3.57
"AT2G45900"	3.55	3.31	3.36	3.26	3.01	2.99	2.95	2.95	2.89	2.88	2.87	2.9	3.05	3.11	3.16	3.25	3.2	3.23
"AT2G45910"	6.9	6.8	6.9	6.84	6.95	6.94	7.06	7.04	6.94	6.8	6.85	6.55	6.38	6.01	5.96	5.85	6.04	5.82
"AT2G45920"	7.19	6.93	7.02	6.91	7.35	7.62	7.58	7.7	7.63	7.91	7.69	7.89	7.83	7.72	7.67	7.29	7.24	7.15
"AT2G45930"	4.13	4.25	4.16	4.31	4.18	4.19	4.22	4.21	4.29	4.61	4.48	4.31	4.38	4.6	4.65	4.56	4.6	4.41
"AT2G45960"	12.03	12.03	11.87	11.72	11.33	10.86	10.69	10.49	10.4	10.9	10.79	10.64	10.38	10.32	10.18	10.41	10.5	10.68
"AT2G45970"	4.68	4.87	6.57	7.59	8.21	7.94	7.48	6.92	6.86	7.11	7.49	7.27	6.75	6.61	6.42	6.6	6.73	6.71
"AT2G45980"	9.28	9.26	9.12	9.16	8.9	8.68	8.66	8.61	8.77	9.21	9.06	8.93	8.52	8.45	8.38	8.41	8.57	8.56
"AT2G45990"	7.85	7.67	7.92	7.82	7.84	7.73	7.69	7.73	7.72	7.9	7.99	8.13	8.07	8.13	8.22	8.1	8.1	8.22
"AT2G46000"	6.85	6.81	6.74	6.43	6.46	6.34	6.67	6.72	6.72	6.57	6.64	6.62	6.7	6.89	7.05	7.07	7.28	7.37
"AT2G46030"	9.22	9.25	8.8	8.36	8.03	7.87	8.04	8.16	8.1	8.22	8.13	7.95	7.71	7.66	7.8	7.57	7.73	7.68
"AT2G46040"	4.53	4.8	4.81	4.68	4.98	4.94	5	5	4.98	4.92	4.89	4.99	5.24	5.32	5.4	5.29	5.36	5.34
"AT2G46060"	6.72	6.59	6.87	6.73	6.85	6.76	6.87	6.74	6.61	6.15	6.42	6.4	6.46	6.27	6.31	6.3	6.37	6.29
"AT2G46080"	8.11	8.26	8.38	8.26	8.46	8.54	8.48	8.37	8.32	8.21	8.25	8.23	8.18	8.14	7.82	7.63	7.62	7.51
"AT2G46090"	6.6	6.57	6.63	6.81	6.98	7.08	7.12	7.07	7.06	6.94	7.09	7.08	7.34	7.54	7.51	7.75	7.75	7.89
"AT2G46100"	8.23	7.85	8.13	8.35	8.1	8.29	8.27	8.2	8.06	8.1	8.16	8.06	7.97	7.84	7.86	7.68	7.71	7.56
"AT2G46110"	4.21	4.21	4.37	4.28	4.53	4.68	4.8	4.76	4.79	5.03	5.09	5.12	5.09	5.18	5.4	5.59	5.63	5.75
"AT2G46130"	4.48	4.72	5.54	6.68	7.83	8.25	8.44	7.9	7.4	6.78	6.8	7.18	7.25	6.95	6.31	5.35	4.9	4.56
"AT2G46140"	9.51	9.52	8.57	7.81	7.33	7.36	7.51	7.51	7.66	7.75	7.82	7.86	8.11	8.39	8.31	8.58	8.51	8.48
"AT2G46150"	6.68	6.32	6.05	6.59	6.46	7.38	7.44	7.71	7.73	7.99	8.03	8.16	8.15	8.2	8.15	8.17	7.92	7.96
"AT2G46170"	9.13	9.04	8.74	8.63	8.53	8.75	8.95	9.04	8.95	8.56	8.7	8.76	8.88	8.99	9.01	8.82	8.92	8.94
"AT2G46200"	4.78	4.79	4.93	5.1	5.2	5.3	5.04	5.14	5.29	5.55	5.62	5.43	5.43	5.4	5.63	5.9	5.79	5.95
"AT2G46210"	3.64	3.79	3.54	3.67	3.77	3.69	3.94	3.83	3.76	3.78	3.7	3.68	3.88	4.06	4.06	4.19	4.33	4.45
"AT2G46220"	8.03	7.94	8.16	8.21	7.71	7.23	6.96	7.11	7.64	8.6	8.13	7.51	6.67	6.16	6.18	6.51	6.74	6.81
"AT2G46230"	8.06	8.52	8.98	8.83	9.01	9.07	9.09	9.34	9.39	9.44	9.51	9.61	9.72	10.05	10.1	10.15	10.21	10.18
"AT2G46250"	2.96	2.97	3.07	2.85	2.92	2.97	2.94	2.92	3.01	2.99	3.08	3.09	3.14	3.14	3.13	3.31	3.13	3.28
"AT2G46260"	8.62	8.54	8.29	8.24	8	7.9	7.74	7.73	7.75	7.83	7.95	7.76	7.52	7.38	7.28	7.36	7.55	7.52
"AT2G46270"	7.97	7.98	7.36	7.33	6.85	6.51	6.5	6.37	6.2	6.46	6.72	6.7	6.62	6.51	6.17	6.1	6.21	6.2
"AT2G46300"	3.74	3.63	3.49	3.45	3.44	3.29	3.25	3.33	3.29	3.61	3.6	3.72	3.71	3.2	3.3	3.19	3.3	3.21
"AT2G46310"	5.39	5.49	5.63	5.88	5.84	5.85	5.94	5.99	6.25	6.2	6.2	5.98	5.86	5.91	5.82	5.8	5.84	5.61
"AT2G46330"	11.16	11.19	10.8	10.73	10.54	10.76	10.86	10.98	11.1	10.89	10.95	10.91	10.99	11.06	11.05	11.12	11.19	11.36
"AT2G46340"	6.99	7.05	6.72	6.59	6.57	6.47	6.44	6.2	6.16	5.94	6.11	6.22	6.01	5.91	5.88	5.5	5.8	5.76
"AT2G46370"	9.48	9.22	9.18	9.01	9.22	9.42	9.55	9.66	9.53	9.06	9.17	9.05	8.88	8.76	8.86	8.87	8.85	8.74
"AT2G46380"	3.55	3.7	3.75	3.71	3.6	3.5	3.6	3.47	3.66	3.52	3.56	3.58	3.65	3.7	3.81	3.83	3.86	3.94
"AT2G46410"	5.84	5.75	5.33	5.66	5.82	6.23	6.5	6.49	6.49	5.93	6.06	5.92	6.05	6.17	6	5.84	6.06	6.01
"AT2G46420"	6.08	5.88	5.86	5.33	5.8	5.35	5.14	4.95	5.24	5.45	5.78	5.8	5.85	6.07	6.02	5.77	6.05	5.83
"AT2G46450"	5.39	5.26	5.8	6.14	7.08	7.43	7.43	7.3	6.89	6.45	6.7	6.74	7.28	7.59	7.76	7.43	7.47	7.21
"AT2G46470"	6.1	6	6.16	5.95	6.31	6.58	6.66	6.71	6.75	6.57	6.58	6.5	6.81	6.91	7.05	7.26	7.24	7.25
"AT2G46490"	8.44	8.54	8.33	8.27	8.3	8.33	8.45	8.77	8.99	9.2	9.1	8.76	8.47	8.32	8.49	8.81	9	9.01
"AT2G46500"	9.2	9.17	8.95	8.94	8.64	8.51	8.43	8.21	8.2	8.27	8.26	8.25	8.12	8.03	8.06	7.99	8.03	7.96
"AT2G46520"	7.43	7.55	7.88	7.87	7.81	8.03	7.9	7.9	8.05	7.56	7.7	7.7	7.98	8.24	8.13	8.39	8.21	8.22
"AT2G46540"	10.69	10.68	10.6	10.46	10.47	10.48	10.54	10.43	10.34	10.23	10.22	10.29	10.35	10.4	10.48	10.39	10.46	10.6
"AT2G46550"	8	7.93	7.99	7.8	7.76	7.53	7.7	7.76	7.89	7.84	7.85	7.61	7.06	6.84	6.66	6.95	6.99	7.07
"AT2G46570"	4.28	4.16	3.9	3.75	4.11	3.85	3.86	3.86	3.71	3.65	3.53	3.72	3.55	3.51	3.52	3.75	3.58	3.62
"AT2G46590"	6.01	5.98	6.02	6.42	6.21	6.6	6.63	6.61	6.53	6.31	6.41	6.66	6.81	6.64	6.85	6.6	6.36	6.24
"AT2G46600"	10.41	10.26	9.9	9.88	9.48	9.64	9.66	9.55	9.45	9.41	9.55	9.96	10.29	10.38	10.36	9.78	9.63	9.43
"AT2G46610"	5.26	5.33	5.62	5.79	5.77	6.11	6.09	6.06	6.24	6.3	6.38	6.34	6.51	6.77	6.74	6.93	6.78	6.88
"AT2G46620"	7.86	8.08	7.69	7.61	7.71	7.91	7.93	7.96	7.9	7.79	7.53	7.43	7.43	7.55	7.57	7.26	7.12	6.91
"AT2G46630"	7.82	7.67	7.59	7.89	7.34	6.89	6.85	6.61	6.12	5.84	6.19	6.69	7.69	7.72	7.72	7.65	7.1	7.47
"AT2G46640"	3.55	3.42	3.5	3.38	3.38	3.25	3.28	3.23	3.27	3.35	3.33	3.3	3.28	3.19	3.23	3.2	3.15	3.2
"AT2G46650"	7.95	7.51	8.51	8.73	9.21	9.69	9.94	9.88	9.91	8.99	9.19	8.77	8.73	9.03	9.2	9.37	9.19	9.02
"AT2G46680"	5.33	4.97	5.77	5.93	6.14	6.45	6.79	6.79	6.77	6.85	7	7.15	7.03	6.94	7.01	6.31	6.74	6.46
"AT2G46690"	9.86	10.04	10.37	9.93	10.35	10.46	10.44	10.39	10.17	9.69	9.66	9.44	9.51	9.52	9.23	9.15	9.22	9.04
"AT2G46700"	7.52	7.68	7.66	7.47	7.61	7.69	7.62	7.64	7.53	7.33	7.33	7.38	7.37	7.32	7.35	7.15	7.25	7.09
"AT2G46710"	6.17	6.53	6.26	6.24	6.2	6.32	6.61	7	6.83	6.54	6.36	6.33	6.29	6.25	6.15	6.16	6.35	6.17
"AT2G46730"	4.28	4.28	4.05	4.29	4.12	4.36	4.27	4.4	4.22	4.36	4.36	4.31	4.5	4.69	4.6	4.65	4.65	4.65
"AT2G46740"	9.27	9.37	9.01	8.71	8.42	8.41	8.73	9.13	8.92	8.82	8.57	8.23	7.78	7.61	7.81	7.29	7.34	7.11
"AT2G46750"	6.85	6.64	7.3	8.09	8.64	8.91	9.14	9.46	9.73	9.9	9.85	9.4	9.23	9.04	9.07	9.03	9.07	8.75
"AT2G46760"	6.55	6.62	6.39	6.32	6.07	5.34	5.42	5.17	5.31	4.94	5.08	5.38	5.77	5.92	5.98	5.09	5.03	4.7
"AT2G46780"	5.3	5.71	5.22	5.14	4.85	4.82	4.93	5.1	5.37	5.43	5.38	5.54	6	6.26	6.45	6.73	6.54	6.78
"AT2G46800"	10.14	10.31	10.05	9.6	9.48	9.16	8.97	8.97	9.02	9.36	9.22	9.19	9.07	8.93	8.86	9.17	9.28	9.44
"AT2G46820"	8.31	8.17	8.2	8.07	7.85	7.78	7.64	7.37	7.34	7.45	7.62	7.48	7.41	7.29	7.19	7.06	6.94	7.17
"AT2G46830"	3.25	3.22	3.25	4.76	6.81	7.35	7.6	6.72	4.92	3.43	3.62	5.33	6.47	6.84	6.52	5.51	4.75	4.1
"AT2G46850"	3.63	3.41	3.44	3.55	3.45	3.49	3.41	3.42	3.75	3.82	3.96	3.96	4.41	4.9	4.97	5.67	5.66	5.67
"AT2G46860"	4.48	5.08	3.45	3.36	3.33	3.19	3.3	3.31	3.18	3.34	3.22	3.21	3.25	3.21	3.2	3.37	3.27	3.19
"AT2G46880"	3.76	3.48	3.5	3.54	3.39	3.4	3.44	3.3	3.22	3.24	3.28	3.22	3.29	3.38	3.33	3.35	3.32	3.27
"AT2G46900"	8.49	8.47	8.41	8.28	8.24	8.16	8.13	8.24	8.35	8.79	8.72	8.33	8.04	8.02	8.05	8.24	8.48	8.45
"AT2G46910"	6.04	5.87	5.91	5.85	6	5.85	5.85	5.71	5.44	5.14	5.3	5.37	5.46	5.41	5.45	5.48	5.57	5.48
"AT2G46920"	7.8	8.06	7.31	7.15	7.28	7.37	7.36	7.38	7.6	7.33	7.47	7.49	7.65	7.62	7.76	7.67	7.66	7.56
"AT2G46940"	5.61	5.74	5.71	5.8	5.54	5.5	5.54	5.71	5.66	5.72	5.52	5.34	5.01	4.95	4.94	4.87	4.92	4.89
"AT2G46950"	4.16	4.05	3.97	3.99	4	4.11	4.05	4.55	5.17	5.75	5.46	5.48	4.65	4.55	4.34	4.27	4.29	4.08
"AT2G46990"	4.11	4.01	3.88	4.02	4	3.89	3.9	3.93	3.9	4.14	4.1	4.21	4.37	4.61	4.53	4.66	4.57	4.7
"AT2G47000"	9.92	9.97	9.91	9.86	10	9.93	9.78	9.72	9.57	9.46	9.52	9.72	9.6	9.43	9.38	9.09	9.12	8.91
"AT2G47010"	3.87	3.94	3.71	3.97	3.91	3.8	3.8	4	3.81	3.98	4.05	4.22	4.27	4.62	4.43	4.51	4.65	4.67
"AT2G47020"	4.85	4.76	4.79	4.82	5.31	5.32	5.39	5.29	5.59	5.61	5.52	5.48	5.82	5.96	6.14	6.32	6.32	6.38
"AT2G47060"	8.61	8.61	8.43	8.77	8.15	8.13	8.07	7.88	7.99	8.3	8.2	8.23	8.21	8.06	8.12	7.97	7.79	7.94
"AT2G47120"	3.39	3.34	3.24	3.49	3.28	3.26	3.22	3.22	3.14	3.28	3.21	3.23	3.12	3.22	3.15	3.23	3.2	3.05
"AT2G47130"	7.6	7.96	8.24	8.49	8.54	8.68	8.85	8.93	8.86	8.76	8.67	8.56	8.32	8.18	8.08	7.84	7.93	7.73
"AT2G47140"	6.08	6.12	5.66	5.9	6.33	6.61	6.86	7.08	7.13	6.96	6.97	6.85	6.57	6.51	6.26	5.89	5.98	5.88
"AT2G47160"	8.14	8.17	8.35	8.12	8.04	8.04	8.18	8.51	8.31	7.58	7.17	6.9	6.9	7	7.13	7	6.94	6.74
"AT2G47170"	10.7	10.76	10.54	10.62	10.72	10.73	10.77	10.8	10.88	10.88	10.93	10.99	11.11	11.29	11.25	11.29	11.29	11.26
"AT2G47180"	4.14	4.21	4.57	4.94	5.51	5.95	6.11	6.08	6.29	6.11	6.33	6.73	7.3	7.37	7.35	7.58	7.63	7.37
"AT2G47190"	3.78	3.64	3.78	4.4	4.05	4.29	4.33	4.56	4.37	4.69	4.43	4.16	4.53	4.76	4.7	4.47	4.25	4.29
"AT2G47200"	2.96	3.02	3.05	5.63	8.87	10.1	10.56	10.7	10.68	10.38	10.12	10.14	9.82	9.69	9.23	8.64	8.16	7.36
"AT2G47230"	3.82	4.11	3.86	4.11	4.09	4.1	4.04	4.18	4.52	4.45	4.38	4.33	4.66	4.69	4.86	5.22	5.06	5.24
"AT2G47240"	3.87	4.29	3.26	3.07	3	2.84	2.92	3.09	3.09	3.11	3.04	2.95	3	3.05	3.45	3.94	4.3	4.68
"AT2G47250"	6.79	7.1	7.29	7.36	7.64	7.81	7.77	7.91	8.08	8.1	8.18	8.03	8.24	8.37	8.49	8.62	8.43	8.53
"AT2G47260"	4.34	4.92	5.19	5.62	6.65	7.18	7.21	7.58	7.69	7.78	8.04	8.19	8.2	8.27	8.25	8.06	8.11	7.9
"AT2G47270"	5.3	5.56	4.79	4.79	4.22	4.24	4.15	4.56	4.88	5.51	5.48	5.63	5.44	5.3	5.48	6.56	6.71	7.25
"AT2G47280"	3.63	3.55	3.61	3.67	3.4	3.46	3.4	3.39	3.34	3.49	3.33	3.4	3.47	3.44	3.35	3.33	3.41	3.28
"AT2G47320"	9.75	9.65	9.92	10.02	10.15	10.25	10.32	10.25	10.36	10.42	10.27	10.39	10.46	10.42	10.54	10.49	10.61	10.7
"AT2G47350"	7.15	7.03	6.9	6.62	6.77	6.52	6.63	6.45	6.55	6.68	6.53	6.53	6.38	6.43	6.39	6.56	6.6	6.32
"AT2G47380"	11.74	11.76	11.77	11.83	11.76	11.9	11.86	11.79	11.86	11.66	11.73	11.67	11.49	11.44	11.47	11.43	11.53	11.3
"AT2G47390"	8.8	8.7	8.75	8.71	8.73	8.66	8.58	8.62	8.59	8.35	8.37	8.23	8.14	8.07	8.13	8.07	8.06	8.03
"AT2G47400"	9.99	9.78	9.71	9.64	9.37	8.91	8.42	8.3	8.54	9.24	9.28	8.84	8.36	7.87	7.67	7.93	8.13	8.3
"AT2G47420"	6.82	7.15	7.39	7.52	7.74	7.88	7.99	8.33	8.47	8.52	8.41	8.52	8.63	8.71	8.75	8.82	8.87	8.74
"AT2G47440"	5.58	5.65	5.19	4.87	4.96	5.04	5.1	5.41	5.47	5.75	5.78	5.88	6.14	6.29	6.58	7.16	7	7.22
"AT2G47450"	6.83	6.54	6.63	6.44	6.18	5.91	5.73	5.32	5.52	6.11	5.9	5.64	5.33	4.94	4.87	5.12	5.45	5.5
"AT2G47460"	8.92	8.75	8.73	8.38	7.71	7.21	6.65	6.13	6.43	6.98	7.72	8.09	7.64	7.26	6.4	6.12	6.66	6.76
"AT2G47470"	10.47	10.35	10.42	10.5	10.61	10.81	10.77	10.76	10.76	10.71	10.75	10.91	10.96	10.97	10.94	11.01	10.97	11.1
"AT2G47490"	8.18	8.15	8.08	8.08	8.54	8.64	8.74	8.58	8.31	8.03	8.14	8.37	8.6	8.64	8.54	8.09	8.03	7.86
"AT2G47500"	7.08	6.93	6.99	7.11	6.84	6.47	6.42	6.2	6.06	5.64	5.77	5.7	6.03	6.12	6.22	6.13	5.93	5.81
"AT2G47510"	10.51	10.3	10.29	10.25	10.28	10.24	10.34	10.15	10.22	9.86	10.01	9.97	10.1	10.2	10.04	10.29	10.41	10.34
"AT2G47520"	4.89	4.76	4.57	4.3	4.24	4.12	4.17	4.06	4.14	4.29	4.17	4.23	4.51	4.69	5.12	5.33	5.73	5.34
"AT2G47540"	6.76	7.16	4.3	4.01	3.89	3.83	3.81	3.75	3.89	4	3.78	3.79	3.79	3.9	3.7	3.73	3.9	3.67
"AT2G47550"	4.76	5.52	3.47	3.44	3.23	3.45	3.52	3.82	4.6	5.12	5.3	5.25	5.99	6.08	6.36	5.44	5.41	4.94
"AT2G47560"	6.64	6.67	6.74	7.05	7.07	7.31	7.42	7.75	7.81	7.8	7.62	7.14	7.31	7.59	7.87	7.79	7.57	7.42
"AT2G47580"	8.14	8.15	8.25	8.09	8.33	8.3	8.34	8.43	8.57	8.73	8.62	8.65	8.9	9.08	9.25	9.43	9.4	9.41
"AT2G47590"	6.85	6.79	7.05	7.15	7.42	7.47	7.38	7.41	7.36	7.22	7.17	7.26	7.4	7.6	7.77	7.67	7.74	7.79
"AT2G47600"	7.92	7.68	7.88	7.82	7.64	7.26	7.02	6.88	6.96	7.28	7.33	7.21	6.94	6.67	6.63	6.53	6.84	6.89
"AT2G47610"	9.29	9.93	10.37	10.4	10.87	11.1	11.18	11.41	11.64	11.59	11.73	11.75	12.02	12.18	12.27	12.32	12.29	12.35
"AT2G47620"	5.52	5.5	5.83	5.59	5.72	5.81	5.93	6.05	6.1	6.05	6.09	6.04	6	6.23	6.05	6.13	6.21	6.33
"AT2G47630"	9.51	9.57	9.88	10.24	10.46	10.46	10.43	10.15	9.99	10	9.85	9.81	9.63	9.29	8.92	8.49	8.47	8.4
"AT2G47640"	7.34	7.32	7.77	7.7	7.97	8.07	8.06	8.37	8.45	8.29	8.58	8.62	8.76	9	9.07	9.25	9.42	9.53
"AT2G47660"	3.06	3.05	2.99	3.2	3.11	3.06	2.94	3.01	3.03	2.94	3.07	3.13	2.92	3.08	3.05	3.06	3.05	2.97
"AT2G47670"	4.69	4.5	4.2	4.03	4.01	4.38	4.76	4.02	3.83	3.82	3.91	4.09	4.41	4.01	4.01	3.7	3.45	3.69
"AT2G47680"	3.85	4.16	4.6	4.55	4.78	4.67	4.68	4.89	4.8	4.72	4.81	4.69	5.18	5.58	5.57	5.93	5.77	5.67
"AT2G47690"	8.11	8.02	8.05	7.82	7.9	7.87	7.83	7.91	7.84	7.75	7.83	7.77	7.68	7.75	7.83	7.79	7.86	7.89
"AT2G47700"	8.44	8.43	7.94	7.88	7.78	7.63	7.46	7.57	7.58	7.95	7.79	7.82	7.49	7.45	7.38	7.45	7.49	7.39
"AT2G47710"	10.02	10	9.95	9.92	10.01	9.54	9.6	9.37	8.91	8.97	8.95	9.05	8.86	8.66	8.71	8.44	8.58	8.62
"AT2G47720"	4.85	4.63	3.91	3.65	3.47	3.35	3.35	3.27	3.34	3.5	3.39	3.34	3.27	3.33	3.29	3.44	3.54	3.67
"AT2G47730"	12.88	12.82	12.42	12.16	11.73	11.29	11.21	11	11.06	11.19	11.22	11.3	11.29	11.11	11.04	11.01	11.19	11.26
"AT2G47750"	3.21	3.21	3.3	3.19	3.32	3.2	3.55	3.43	3.5	3.52	3.3	3.35	3.34	3.45	3.28	3.49	3.56	3.4
"AT2G47770"	4.92	4.75	5.12	5.7	5.27	4.88	4.76	4.69	4.5	4.88	4.83	4.79	4.68	4.38	4.4	4.15	4.4	4.33
"AT2G47790"	6.16	6.56	7.06	7.14	7.33	7.45	7.44	7.61	7.7	7.92	7.89	7.94	8.13	8.35	8.48	8.38	8.48	8.45
"AT2G47800"	8.67	8.61	8.88	8.85	8.91	8.38	7.88	7.21	7.2	7.14	7.79	8.25	8.18	7.81	7.46	6.92	6.94	7.05
"AT2G47810"	6.41	7.49	4.77	4.19	3.92	3.73	3.84	3.83	3.79	3.99	3.82	4.17	4.33	4.37	4.2	4.5	4.65	4.78
"AT2G47830"	7.54	7.62	7.26	6.93	7.01	7.02	7.03	7.01	6.83	6.87	6.86	6.93	6.88	6.81	6.72	6.63	6.65	6.59
"AT2G47840"	6.95	7.1	7.05	6.91	7.28	7.07	7.14	7.15	7.09	7.01	7.09	7.17	7.23	7.24	7.27	7.26	7.4	7.33
"AT2G47850"	7.25	7.23	7.31	7.21	7.21	6.96	6.97	7.08	7.04	7.08	7.06	7.13	6.98	6.74	6.61	6.61	6.57	6.58
"AT2G47860"	5.7	6.08	6.2	6.06	6.57	6.62	6.74	6.75	6.7	6.53	6.56	6.43	6.16	5.87	6.03	5.72	5.92	5.93
"AT2G47890"	10.24	10.18	10.11	9.94	9.92	9.58	9.41	9.3	9.29	9.34	9.68	9.73	9.23	8.78	8.49	8.21	8.43	8.45
"AT2G47910"	3.73	3.79	3.77	3.85	3.92	3.82	3.73	3.77	3.75	4.09	3.92	3.65	3.57	3.62	3.5	3.61	3.61	3.58
"AT2G47920"	3.44	3.57	3.52	3.59	3.59	3.6	3.55	3.45	3.6	3.97	3.76	3.92	4.09	4.08	4.09	4.26	4.06	4.19
"AT2G47930"	7.81	7.39	8.05	7.4	6.18	6.1	5.82	5.66	6.04	5.89	5.87	5.91	6.57	6.77	7.08	6.95	6.97	6.96
"AT2G47940"	6.99	7.1	7.21	7.2	7.18	7.13	7.04	7.12	7.24	7.2	7.24	7.11	7.15	7.4	7.31	7.44	7.55	7.47
"AT2G47960"	8.49	8.28	8.44	8.42	8.28	8.45	8.5	8.6	8.63	8.57	8.61	8.46	8.49	8.48	8.5	8.61	8.47	8.63
"AT2G47980"	7.77	7.79	7.99	7.91	8.21	8.3	8.2	8.36	8.38	8.27	8.24	8.26	8.31	8.35	8.43	8.37	8.49	8.52
"AT2G47990"	4.94	6.28	6.44	6.29	6.67	6.72	6.83	7.01	7.11	6.71	6.99	7.15	7.79	8.16	8.06	8.05	7.89	8
"AT2G48020"	7.35	6.96	7.2	7.21	7.04	6.71	6.68	6.8	6.7	6.75	6.77	6.72	6.58	6.58	6.65	6.91	7.15	7.29
"AT2G48030"	9.32	8.87	9.39	8.89	8.46	7.75	7.55	7.22	7.39	7.69	7.36	6.95	6.83	6.71	6.78	7.04	6.86	6.92
"AT2G48060"	5.54	5.45	5.47	5.41	5.33	5.29	5.21	5.3	5.19	5.13	5.22	5.1	4.99	4.94	4.89	4.84	4.77	4.84
"AT2G48080"	6.46	6.49	5.68	5.86	6.14	7.13	7.7	7.68	6.73	5.7	6.02	6.59	7.29	7.63	7.64	6.83	6.45	5.98
"AT2G48090"	3.63	3.62	3.57	3.59	3.85	3.98	3.9	3.99	3.89	4.05	4.18	4.13	4.27	4.15	4.37	4.4	4.02	3.95
"AT2G48100"	7.78	7.93	8.06	8.03	8.16	8.26	8.19	8.33	8.44	8.39	8.51	8.44	8.6	8.7	8.72	8.83	8.88	8.92
"AT2G48110"	4.44	4.54	4.25	4.28	4.44	4.22	4.16	3.99	4.27	4.35	4.21	4.18	4.11	3.99	4.14	4.07	4.26	4.11
"AT2G48120"	4.75	4.75	4.84	5.05	5.38	5.71	5.72	5.9	6.01	6.11	6.27	6.11	6.39	6.66	6.77	7.07	6.8	6.91
"AT2G48130"	10.62	10.5	11.61	11.92	12.1	11.99	11.82	11.27	10.93	10.91	10.81	10.9	10.6	9.97	9.51	8.23	7.91	7.72
"AT2G48140"	8.95	9.16	10.85	11.63	12.36	12.31	12.27	11.76	11.4	11.39	11.43	11.37	11.13	10.45	9.89	9.02	8.7	8.45
"AT3G01010"	3.87	3.93	3.65	3.72	3.63	3.51	3.59	3.57	3.55	3.54	3.5	3.66	3.7	3.67	3.67	3.57	3.57	3.4
"AT3G01020"	3.73	3.7	3.64	3.74	3.62	3.53	3.51	3.57	3.48	3.56	3.62	3.54	3.4	3.45	3.48	3.49	3.42	3.48
"AT3G01060"	4.26	4.16	4.3	4.57	4.94	5.03	4.92	4.38	4.15	4.22	4.12	4.25	4.44	4.52	4.21	3.93	4	3.96
"AT3G01070"	2.87	4.19	5.64	6.07	6.5	6.68	6.82	6.58	6.2	6.4	6.13	5.98	5.7	5.62	5.89	5.73	5.8	5.8
"AT3G01080"	4.23	3.95	3.89	3.75	3.78	3.48	3.75	3.65	3.49	3.76	3.66	3.61	3.68	3.59	3.54	3.45	3.54	3.45
"AT3G01090"	9.14	9.03	8.89	8.95	8.58	8.52	8.49	8.51	8.59	8.77	8.68	8.55	8.44	8.31	8.4	8.37	8.44	8.5
"AT3G01100"	6.73	6.62	6.84	6.78	6.77	6.48	6.42	6.31	6.27	6.22	6.18	6.19	6.03	5.79	5.76	5.58	5.73	5.62
"AT3G01120"	11.67	11.63	11.69	11.61	11.87	12.05	12.21	12.16	11.99	11.49	11.34	11.24	11.38	11.44	11.61	11.61	11.57	11.47
"AT3G01130"	9.59	9.47	9.44	9.49	9.6	9.69	9.75	9.9	9.94	9.98	9.84	9.93	10.11	10.23	10.39	10.31	10.43	10.36
"AT3G01140"	3.67	3.77	3.76	3.73	3.44	3.54	3.55	3.63	3.38	3.76	3.48	3.56	3.45	3.44	3.37	3.54	3.5	3.54
"AT3G01150"	8.17	8.06	7.98	7.83	7.72	7.66	7.87	7.91	7.89	7.8	7.88	7.8	7.82	7.85	8.04	8.12	8.08	8.07
"AT3G01160"	5.34	6.23	6.43	6.32	6.53	6.65	6.85	7.01	7.16	6.91	7.11	7.29	7.58	7.94	7.93	7.89	7.78	7.79
"AT3G01170"	7.63	7.56	7.56	7.42	7.34	7.1	7	6.84	7.01	7.27	7.2	6.96	6.54	6.44	6.21	6.1	6.4	6.35
"AT3G01180"	6.65	6.66	6.93	6.67	6.74	6.71	6.61	6.46	6.54	6.37	6.55	6.48	6.32	6.24	6.23	6.13	6.36	6.53
"AT3G01190"	12.5	12.31	12.03	11.66	11.13	10.96	10.77	10.5	10.04	10.17	9.91	9.49	8.97	8.7	8.85	8.2	8.42	7.99
"AT3G01200"	8.19	7.96	8.14	8.07	7.97	7.72	7.92	7.8	7.79	7.82	7.75	7.68	7.26	7.24	7.15	7.05	7.17	7.13
"AT3G01210"	6.55	6.26	6.74	6.93	7.16	7.1	7.2	6.9	6.87	6.86	7.03	7.18	6.85	6.63	6.57	6.28	6.23	6.14
"AT3G01220"	6.74	6.36	6.68	6.59	6.73	6.67	6.65	6.65	6.51	6.3	6.48	6.34	6.29	6.25	6.19	6.38	6.42	6.59
